Learning Rate,Threshold,Accuracy
0.01,0.01,1.0
0.01,0.2,1.0
0.01,0.75,1.0
0.1,0.01,1.0
0.1,0.2,1.0
0.1,0.75,1.0
0.5,0.01,0.95
0.5,0.2,1.0
0.5,0.75,1.0
